#amostra;data;hora;cpu_em_uso;cpu_percent;kb_wr_s;mem_used;mem_free;mem_avaliable;swap_used;reservado_cache_buffer;cached;buffer
1;2020-07-05;20:02:36;6;0.09;1.62;3410212;2706564;3967804;1486080;1896868;1629456;155572
2;2020-07-05;20:02:42;6;0.09;1.63;3410752;2699520;3961176;1486080;1903372;1635796;155616
3;2020-07-05;20:02:47;6;0.09;1.62;3411100;2703292;3964940;1486080;1899252;1631684;155624
4;2020-07-05;20:02:52;6;0.09;1.62;3411312;2703124;3964784;1486080;1899208;1631624;155632
5;2020-07-05;20:02:57;6;0.09;1.62;3412844;2701752;3963368;1486080;1899048;1631576;155640
6;2020-07-05;20:03:02;0;0.09;1.64;3412368;2702016;3963788;1486080;1899260;1631656;155648
7;2020-07-05;20:03:07;7;0.09;1.65;3412356;2699336;3961128;1486080;1901952;1634324;155664
8;2020-07-05;20:03:12;3;0.09;1.65;3413372;2698184;3959988;1486080;1902088;1634452;155680
9;2020-07-05;20:03:17;3;0.09;1.65;3413892;2697932;3959680;1486080;1901820;1634316;155688
10;2020-07-05;20:03:22;3;0.09;1.65;3413708;2698008;3959832;1486080;1901928;1634284;155696
11;2020-07-05;20:03:27;3;0.09;1.65;3413896;2698016;3959780;1486080;1901732;1634212;155704
12;2020-07-05;20:03:32;3;0.09;1.65;3416532;2697676;3960368;1486080;1899436;1631908;155712
13;2020-07-05;20:03:37;3;0.09;1.65;3416588;2695868;3958708;1486080;1901188;1633492;155744
14;2020-07-05;20:03:43;3;0.09;1.65;3418392;2692984;3956060;1486080;1902268;1634696;155752
15;2020-07-05;20:03:48;0;0.09;1.65;3418348;2693524;3956704;1486080;1901772;1634076;155760
16;2020-07-05;20:03:53;3;0.09;1.65;3420208;2692020;3955164;1486080;1901416;1633796;155784
17;2020-07-05;20:03:58;3;0.09;1.65;3419708;2692424;3955640;1486080;1901512;1633768;155792
18;2020-07-05;20:04:03;4;0.09;1.65;3419172;2693064;3956224;1486080;1901408;1633796;155792
19;2020-07-05;20:04:08;4;0.09;1.64;3419992;2692052;3955284;1486080;1901600;1633844;155808
20;2020-07-05;20:04:13;4;0.09;1.64;3421520;2687104;3950292;1486080;1905020;1637380;155824
21;2020-07-05;20:04:18;3;0.09;1.65;3429168;2679204;3942484;1486080;1905272;1637472;155840
22;2020-07-05;20:04:23;3;0.09;1.65;3430396;2678004;3941284;1486080;1905244;1637452;155840
23;2020-07-05;20:04:28;4;0.09;1.64;3429052;2682640;3945940;1486080;1901952;1634128;155856
24;2020-07-05;20:04:33;4;0.09;1.64;3429716;2681976;3945284;1486080;1901952;1634128;155856
25;2020-07-05;20:04:38;4;0.09;1.64;3430052;2681780;3945056;1486080;1901812;1634080;155896
26;2020-07-05;20:04:43;4;0.09;1.64;3428228;2681868;3945216;1486080;1903548;1635700;155896
27;2020-07-05;20:04:49;4;0.09;1.64;3428064;2681232;3944592;1486080;1904348;1636476;155912
28;2020-07-05;20:04:54;4;0.09;1.64;3428064;2682004;3945372;1486080;1903576;1635720;155912
29;2020-07-05;20:04:59;3;0.09;1.64;3428820;2681284;3944672;1486080;1903540;1635656;155928
30;2020-07-05;20:05:04;3;0.09;1.64;3430056;2680148;3943724;1486080;1903440;1635676;155936
31;2020-07-05;20:05:09;3;0.09;1.64;3429304;2680784;3944420;1486080;1903556;1635668;155944
32;2020-07-05;20:05:14;3;0.09;1.64;3430088;2675400;3939064;1486080;1908156;1640132;155944
33;2020-07-05;20:05:19;3;0.09;1.64;3429084;2676648;3940320;1486080;1907912;1639996;155960
34;2020-07-05;20:05:24;3;0.09;1.64;3430000;2679812;3943484;1486080;1903832;1635920;155960
35;2020-07-05;20:05:29;3;0.09;1.64;3432068;2677812;3941504;1486080;1903764;1635832;155976
36;2020-07-05;20:05:34;2;0.09;1.64;3432668;2677096;3941404;1486080;1903880;1635940;155976
37;2020-07-05;20:05:39;2;0.09;1.64;3432196;2678772;3943096;1486080;1902676;1634680;156024
38;2020-07-05;20:05:44;2;0.09;1.64;3433324;2678420;3942764;1486080;1901900;1634020;156056
39;2020-07-05;20:05:50;2;0.09;1.64;3430436;2681380;3945824;1486080;1901828;1633820;156064
40;2020-07-05;20:05:55;2;0.09;1.64;3431028;2680580;3945032;1486080;1902036;1634008;156072
41;2020-07-05;20:06:00;7;0.09;1.64;3432208;2679680;3944148;1486080;1901756;1633716;156080
42;2020-07-05;20:06:05;7;0.09;1.64;3433464;2678248;3942660;1486080;1901932;1634016;156092
43;2020-07-05;20:06:10;7;0.09;1.64;3432604;2679380;3943868;1486080;1901660;1633604;156100
44;2020-07-05;20:06:15;7;0.09;1.64;3432660;2675568;3940072;1486080;1905416;1637348;156108
45;2020-07-05;20:06:20;0;0.09;1.64;3433316;2677700;3942676;1486080;1902628;1634548;156116
46;2020-07-05;20:06:25;0;0.09;1.64;3433900;2677316;3942032;1486080;1902428;1634464;156132
47;2020-07-05;20:06:30;0;0.09;1.64;3435168;2676012;3940800;1486080;1902464;1634372;156140
48;2020-07-05;20:06:35;0;0.09;1.64;3434432;2676696;3941404;1486080;1902516;1634388;156148
49;2020-07-05;20:06:40;1;0.09;1.64;3432356;2679128;3943868;1486080;1902160;1634008;156180
50;2020-07-05;20:06:45;1;0.09;1.64;3419360;2688916;3953664;1486080;1905368;1637208;156188
51;2020-07-05;20:06:50;1;0.09;1.64;3420592;2690864;3955624;1486080;1902188;1634012;156196
52;2020-07-05;20:06:56;1;0.09;1.64;3420020;2691388;3956160;1486080;1902236;1634044;156204
53;2020-07-05;20:07:01;1;0.09;1.63;3419948;2691504;3956288;1486080;1902192;1633988;156212
54;2020-07-05;20:07:06;1;0.09;1.63;3420996;2690332;3955108;1486080;1902316;1634140;156220
55;2020-07-05;20:07:11;1;0.09;1.63;3421728;2689700;3954492;1486080;1902216;1634016;156228
56;2020-07-05;20:07:16;0;0.09;1.63;3423088;2688232;3953036;1486080;1902324;1634112;156236
57;2020-07-05;20:07:21;0;0.09;1.63;3422828;2685244;3950064;1486080;1905572;1637352;156244
58;2020-07-05;20:07:26;0;0.09;1.63;3418324;2693364;3958192;1486080;1901956;1633728;156252
59;2020-07-05;20:07:31;1;0.09;1.63;3420524;2692248;3957084;1486080;1900872;1632640;156260
60;2020-07-05;20:07:36;0;0.09;1.63;3420344;2692596;3957372;1486080;1900704;1632600;156268
61;2020-07-05;20:07:41;0;0.09;1.63;3415316;2697404;3962288;1486080;1900924;1632644;156300
62;2020-07-05;20:07:46;1;0.09;1.63;3415016;2697944;3962832;1486080;1900684;1632388;156308
63;2020-07-05;20:07:51;1;0.09;1.63;3415316;2697628;3962532;1486080;1900700;1632396;156316
64;2020-07-05;20:07:56;1;0.09;1.63;3414804;2698068;3962984;1486080;1900772;1632456;156324
65;2020-07-05;20:08:02;2;0.09;1.63;3415644;2697304;3962232;1486080;1900696;1632368;156332
66;2020-07-05;20:08:07;2;0.09;1.63;3415248;2697524;3962464;1486080;1900872;1632532;156340
67;2020-07-05;20:08:12;2;0.09;1.63;3413476;2699484;3964432;1486080;1900684;1632336;156348
68;2020-07-05;20:08:17;2;0.09;1.63;3413764;2699128;3964088;1486080;1900752;1632396;156356
69;2020-07-05;20:08:22;5;0.09;1.63;3414796;2698040;3963012;1486080;1900808;1632444;156364
70;2020-07-05;20:08:27;5;0.09;1.63;3414744;2697868;3962848;1486080;1901032;1632660;156372
71;2020-07-05;20:08:32;6;0.09;1.63;3413288;2699308;3964304;1486080;1901048;1632668;156380
72;2020-07-05;20:08:37;6;0.09;1.63;3414636;2697880;3962872;1486080;1901128;1632732;156412
73;2020-07-05;20:08:42;6;0.09;1.63;3415084;2697564;3962536;1486080;1900996;1632704;156420
74;2020-07-05;20:08:47;6;0.09;1.63;3415596;2697092;3962132;1486080;1900956;1632548;156428
75;2020-07-05;20:08:52;6;0.09;1.63;3414284;2698320;3963368;1486080;1901040;1632620;156436
76;2020-07-05;20:08:57;6;0.09;1.63;3416428;2696240;3961300;1486080;1900976;1632552;156444
77;2020-07-05;20:09:03;7;0.09;1.63;3416500;2696388;3961388;1486080;1900756;1632464;156452
78;2020-07-05;20:09:08;4;0.09;1.63;3416640;2696232;3961248;1486080;1900772;1632456;156460
79;2020-07-05;20:09:13;4;0.09;1.63;3415764;2696820;3961896;1486080;1901060;1632636;156468
80;2020-07-05;20:09:18;5;0.09;1.62;3422824;2689740;3954840;1486080;1901080;1632620;156476
81;2020-07-05;20:09:23;4;0.09;1.62;3422168;2690504;3955616;1486080;1900972;1632508;156484
82;2020-07-05;20:09:28;4;0.09;1.62;3421684;2690616;3955740;1486080;1901344;1632752;156492
83;2020-07-05;20:09:33;4;0.09;1.62;3422536;2689896;3955048;1486080;1901212;1632720;156500
84;2020-07-05;20:09:38;4;0.09;1.62;3423172;2689288;3954468;1486080;1901184;1632680;156540
85;2020-07-05;20:09:43;4;0.09;1.62;3423820;2688484;3953604;1486080;1901340;1632960;156540
86;2020-07-05;20:09:48;4;0.09;1.62;3421932;2690616;3955816;1486080;1901096;1632560;156556
87;2020-07-05;20:09:53;4;0.09;1.62;3423700;2688900;3954112;1486080;1901044;1632520;156556
88;2020-07-05;20:09:58;4;0.09;1.62;3423804;2688780;3954004;1486080;1901060;1632508;156572
89;2020-07-05;20:10:04;7;0.09;1.62;3422524;2690032;3955268;1486080;1901088;1632528;156572
90;2020-07-05;20:10:09;4;0.09;1.62;3424908;2687604;3952840;1486080;1901132;1632568;156588
91;2020-07-05;20:10:14;4;0.09;1.62;3424404;2688228;3953408;1486080;1901012;1632584;156588
92;2020-07-05;20:10:19;4;0.09;1.62;3423976;2688508;3953768;1486080;1901160;1632576;156604
93;2020-07-05;20:10:24;3;0.09;1.62;3424480;2688044;3953324;1486080;1901120;1632528;156604
94;2020-07-05;20:10:29;4;0.09;1.62;3426208;2683248;3948540;1486080;1904188;1635596;156620
95;2020-07-05;20:10:34;4;0.09;1.62;3426632;2685788;3951104;1486080;1901224;1632624;156620
96;2020-07-05;20:10:39;4;0.09;1.62;3426148;2686044;3951392;1486080;1901452;1632828;156660
97;2020-07-05;20:10:44;4;0.09;1.62;3425124;2686408;3951768;1486080;1902112;1633480;156660
98;2020-07-05;20:10:49;4;0.09;1.62;3423292;2689116;3954484;1486080;1901236;1632584;156676
99;2020-07-05;20:10:54;4;0.09;1.62;3426012;2686432;3951748;1486080;1901200;1632684;156676
100;2020-07-05;20:10:59;4;0.09;1.62;3424524;2687888;3953284;1486080;1901232;1632568;156692
101;2020-07-05;20:11:04;4;0.09;1.62;3426040;2686236;3951640;1486080;1901368;1632696;156692
102;2020-07-05;20:11:10;4;0.09;1.62;3425496;2686784;3952204;1486080;1901364;1632672;156708
103;2020-07-05;20:11:15;4;0.09;1.62;3425008;2687256;3952676;1486080;1901380;1632696;156708
104;2020-07-05;20:11:20;1;0.09;1.62;3425896;2685784;3951664;1486080;1901964;1633256;156724
105;2020-07-05;20:11:25;1;0.09;1.62;3426128;2685784;3951612;1486080;1901732;1633140;156740
106;2020-07-05;20:11:30;2;0.09;1.62;3427536;2684592;3950288;1486080;1901516;1632784;156748
107;2020-07-05;20:11:35;5;0.09;1.61;3425708;2683068;3948780;1486080;1904868;1636120;156756
108;2020-07-05;20:11:40;5;0.09;1.61;3426996;2684752;3950480;1486080;1901896;1633112;156788
109;2020-07-05;20:11:45;3;0.09;1.61;3428652;2682956;3948724;1486080;1902036;1633240;156796
110;2020-07-05;20:11:50;3;0.09;1.61;3427176;2684564;3950332;1486080;1901904;1633116;156804
111;2020-07-05;20:11:55;3;0.09;1.61;3427696;2684004;3949780;1486080;1901944;1633140;156812
112;2020-07-05;20:12:00;3;0.09;1.61;3427524;2684296;3950084;1486080;1901824;1633008;156820
113;2020-07-05;20:12:05;3;0.09;1.61;3427608;2684360;3950100;1486080;1901676;1632980;156828
114;2020-07-05;20:12:11;3;0.09;1.61;3427216;2684800;3950588;1486080;1901628;1632824;156836
115;2020-07-05;20:12:16;3;0.09;1.61;3428060;2683768;3949588;1486080;1901816;1632984;156844
116;2020-07-05;20:12:21;3;0.09;1.61;3429648;2682288;3948104;1486080;1901708;1632872;156852
117;2020-07-05;20:12:26;3;0.09;1.61;3430048;2681940;3947716;1486080;1901656;1632928;156860
118;2020-07-05;20:12:31;1;0.09;1.61;3429268;2682568;3948404;1486080;1901808;1632968;156868
119;2020-07-05;20:12:36;1;0.09;1.61;3429164;2679068;3944936;1486080;1905412;1636540;156876
120;2020-07-05;20:12:41;1;0.09;1.61;3428668;2682720;3948628;1486080;1902256;1633340;156908
121;2020-07-05;20:12:46;6;0.09;1.61;3428820;2682568;3948484;1486080;1902256;1633332;156916
122;2020-07-05;20:12:51;6;0.09;1.61;3428144;2683264;3949160;1486080;1902236;1633344;156924
123;2020-07-05;20:12:56;6;0.09;1.61;3428972;2682524;3948392;1486080;1902148;1633332;156932
124;2020-07-05;20:13:01;6;0.09;1.61;3429312;2682316;3948252;1486080;1902016;1633088;156940
125;2020-07-05;20:13:06;6;0.09;1.61;3428872;2682964;3948832;1486080;1901808;1633008;156948
126;2020-07-05;20:13:12;6;0.09;1.61;3429080;2682480;3948416;1486080;1902084;1633156;156956
127;2020-07-05;20:13:17;7;0.09;1.61;3428280;2683392;3949348;1486080;1901972;1633016;156964
128;2020-07-05;20:13:22;6;0.09;1.61;3431204;2680444;3946424;1486080;1901996;1633028;156972
129;2020-07-05;20:13:27;6;0.09;1.61;3430000;2681504;3947488;1486080;1902140;1633160;156980
130;2020-07-05;20:13:32;7;0.09;1.61;3430152;2681352;3947356;1486080;1902140;1633164;156988
131;2020-07-05;20:13:37;0;0.09;1.61;3429156;2682528;3948476;1486080;1901960;1633068;157020
132;2020-07-05;20:13:42;1;0.09;1.61;3428924;2682424;3948468;1486080;1902296;1633288;157028
133;2020-07-05;20:13:47;1;0.09;1.61;3428836;2682432;3948492;1486080;1902376;1633352;157036
134;2020-07-05;20:13:52;1;0.09;1.6;3429424;2681852;3947872;1486080;1902368;1633436;157044
135;2020-07-05;20:13:57;2;0.09;1.6;3430292;2680936;3947008;1486080;1902416;1633388;157052
136;2020-07-05;20:14:02;2;0.09;1.6;3429324;2682180;3948276;1486080;1902140;1633076;157060
137;2020-07-05;20:14:07;3;0.09;1.6;3431952;2679532;3945632;1486080;1902160;1633104;157068
138;2020-07-05;20:14:13;3;0.09;1.6;3431292;2680164;3946276;1486080;1902188;1633116;157076
139;2020-07-05;20:14:18;3;0.09;1.6;3433936;2677516;3943644;1486080;1902192;1633116;157084
140;2020-07-05;20:14:23;3;0.09;1.6;3436088;2674948;3941084;1486080;1902608;1633532;157092
141;2020-07-05;20:14:28;3;0.09;1.6;3434244;2677176;3943332;1486080;1902224;1633124;157100
142;2020-07-05;20:14:33;3;0.09;1.6;3435804;2675808;3941904;1486080;1902032;1633064;157108
143;2020-07-05;20:14:38;3;0.09;1.6;3435840;2675664;3941856;1486080;1902140;1633012;157140
144;2020-07-05;20:14:43;3;0.09;1.6;3436288;2674948;3941160;1486080;1902408;1633252;157148
145;2020-07-05;20:14:48;6;0.09;1.6;3436240;2674992;3941200;1486080;1902412;1633276;157156
146;2020-07-05;20:14:53;5;0.09;1.6;3435536;2675652;3941884;1486080;1902456;1633292;157164
147;2020-07-05;20:14:58;5;0.09;1.6;3435156;2676000;3942244;1486080;1902488;1633312;157172
148;2020-07-05;20:15:03;5;0.09;1.6;3434720;2676716;3942956;1486080;1902208;1633048;157180
149;2020-07-05;20:15:08;5;0.09;1.6;3434552;2677032;3943240;1486080;1902060;1632964;157196
150;2020-07-05;20:15:13;5;0.09;1.6;3435356;2675988;3942248;1486080;1902300;1633120;157196
151;2020-07-05;20:15:19;6;0.09;1.6;3434228;2677148;3943428;1486080;1902268;1633064;157212
152;2020-07-05;20:15:24;6;0.09;1.6;3434972;2676552;3942772;1486080;1902120;1633044;157212
153;2020-07-05;20:15:29;6;0.09;1.6;3435892;2675352;3941648;1486080;1902400;1633176;157228
154;2020-07-05;20:15:34;6;0.09;1.6;3436196;2675300;3941608;1486080;1902148;1632916;157228
155;2020-07-05;20:15:39;6;0.09;1.6;3437560;2673912;3940260;1486080;1902172;1632884;157268
156;2020-07-05;20:15:44;6;0.09;1.6;3436124;2674716;3941076;1486080;1902804;1633404;157268
157;2020-07-05;20:15:49;6;0.09;1.6;3436132;2674796;3941172;1486080;1902716;1633404;157284
158;2020-07-05;20:15:54;6;0.09;1.6;3437536;2673448;3939840;1486080;1902660;1633336;157292
159;2020-07-05;20:15:59;6;0.09;1.6;3437404;2673692;3940096;1486080;1902548;1633216;157300
160;2020-07-05;20:16:04;6;0.09;1.6;3436360;2675072;3941404;1486080;1902212;1633024;157300
161;2020-07-05;20:16:09;6;0.09;1.6;3437500;2673860;3940268;1486080;1902284;1632960;157316
162;2020-07-05;20:16:14;6;0.09;1.59;3437092;2674136;3940548;1486080;1902416;1633084;157316
163;2020-07-05;20:16:20;4;0.09;1.59;3438040;2672876;3939704;1486080;1902728;1633404;157332
164;2020-07-05;20:16:25;4;0.09;1.59;3436980;2673792;3940668;1486080;1902872;1633544;157332
165;2020-07-05;20:16:30;4;0.09;1.59;3437412;2673656;3940348;1486080;1902576;1633204;157356
166;2020-07-05;20:16:35;4;0.09;1.59;3436240;2674696;3941400;1486080;1902708;1633328;157356
167;2020-07-05;20:16:40;4;0.09;1.59;3436868;2674004;3940752;1486080;1902772;1633348;157396
168;2020-07-05;20:16:45;4;0.09;1.59;3436180;2671428;3938244;1486080;1906036;1636608;157396
169;2020-07-05;20:16:50;4;0.09;1.59;3436936;2673712;3940492;1486080;1902996;1633544;157420
170;2020-07-05;20:16:55;4;0.09;1.59;3438540;2671972;3938764;1486080;1903132;1633672;157428
171;2020-07-05;20:17:00;4;0.09;1.59;3435992;2674672;3941476;1486080;1902980;1633512;157436
172;2020-07-05;20:17:05;4;0.09;1.59;3436852;2670496;3937304;1486080;1906296;1636820;157444
173;2020-07-05;20:17:10;4;0.09;1.59;3437160;2673740;3940568;1486080;1902744;1633256;157452
174;2020-07-05;20:17:15;4;0.09;1.59;3438320;2672400;3939228;1486080;1902924;1633428;157460
175;2020-07-05;20:17:20;4;0.09;1.59;3438964;2671872;3938712;1486080;1902808;1633304;157468
176;2020-07-05;20:17:26;4;0.09;1.59;3438800;2671968;3938828;1486080;1902876;1633364;157476
177;2020-07-05;20:17:31;4;0.09;1.59;3439420;2671468;3938332;1486080;1902756;1633236;157484
178;2020-07-05;20:17:36;4;0.09;1.59;3438776;2671856;3938720;1486080;1903012;1633504;157492
179;2020-07-05;20:17:41;4;0.09;1.59;3439856;2670924;3937816;1486080;1902864;1633336;157524
180;2020-07-05;20:17:46;4;0.09;1.59;3441268;2669372;3936292;1486080;1903004;1633444;157532
181;2020-07-05;20:17:51;4;0.09;1.59;3440212;2670044;3936976;1486080;1903388;1633712;157540
182;2020-07-05;20:17:56;1;0.09;1.59;3442168;2668196;3935132;1486080;1903280;1633704;157548
183;2020-07-05;20:18:01;1;0.09;1.59;3440336;2669936;3936888;1486080;1903372;1633788;157556
184;2020-07-05;20:18:06;1;0.09;1.59;3440084;2670196;3937148;1486080;1903364;1633772;157564
185;2020-07-05;20:18:11;1;0.09;1.59;3440652;2669864;3936828;1486080;1903128;1633524;157572
186;2020-07-05;20:18:16;3;0.09;1.59;3440576;2669952;3936916;1486080;1903116;1633520;157580
187;2020-07-05;20:18:21;3;0.09;1.59;3440852;2669736;3936708;1486080;1903056;1633472;157588
188;2020-07-05;20:18:27;3;0.09;1.59;3440764;2670008;3936940;1486080;1902872;1633396;157600
189;2020-07-05;20:18:32;3;0.09;1.59;3441036;2669464;3936472;1486080;1903144;1633540;157608
190;2020-07-05;20:18:37;3;0.09;1.58;3440576;2670180;3937128;1486080;1902888;1633396;157616
191;2020-07-05;20:18:42;5;0.09;1.58;3440716;2669776;3936952;1486080;1903152;1633492;157648
192;2020-07-05;20:18:47;1;0.09;1.58;3441228;2669200;3936368;1486080;1903216;1633600;157656
193;2020-07-05;20:18:52;1;0.09;1.58;3440264;2666928;3934132;1486080;1906452;1636668;157664
194;2020-07-05;20:18:57;1;0.09;1.58;3441156;2669040;3936252;1486080;1903448;1633752;157672
195;2020-07-05;20:19:02;1;0.09;1.58;3440436;2669708;3936936;1486080;1903500;1633800;157680
196;2020-07-05;20:19:07;6;0.09;1.58;3441512;2668812;3935980;1486080;1903320;1633748;157688
197;2020-07-05;20:19:12;6;0.09;1.58;3441308;2669056;3936292;1486080;1903280;1633580;157696
198;2020-07-05;20:19:17;6;0.09;1.58;3446508;2663964;3931208;1486080;1903172;1633468;157704
199;2020-07-05;20:19:22;6;0.09;1.58;3445320;2665212;3932412;1486080;1903112;1633516;157712
200;2020-07-05;20:19:28;6;0.09;1.58;3443844;2666656;3933868;1486080;1903144;1633540;157720
201;2020-07-05;20:19:33;4;0.09;1.58;3444832;2665552;3932840;1486080;1903260;1633512;157728
202;2020-07-05;20:19:38;4;0.09;1.58;3444500;2665856;3933152;1486080;1903288;1633504;157760
203;2020-07-05;20:19:43;4;0.09;1.58;3445080;2665172;3932508;1486080;1903392;1633588;157768
204;2020-07-05;20:19:48;4;0.09;1.58;3445240;2665180;3932452;1486080;1903224;1633548;157776
205;2020-07-05;20:19:53;4;0.09;1.58;3445408;2661596;3928940;1486080;1906640;1636852;157784
206;2020-07-05;20:19:58;4;0.09;1.58;3445120;2664896;3932260;1486080;1903628;1633808;157792
207;2020-07-05;20:20:03;4;0.09;1.58;3444832;2665164;3932468;1486080;1903648;1633964;157800
208;2020-07-05;20:20:08;4;0.09;1.58;3445520;2661792;3929112;1486080;1906332;1636620;157808
209;2020-07-05;20:20:13;4;0.09;1.58;3445776;2661384;3928772;1486080;1906484;1636648;157816
210;2020-07-05;20:20:18;4;0.09;1.58;3445136;2662060;3929464;1486080;1906448;1636596;157824
211;2020-07-05;20:20:23;4;0.09;1.58;3444456;2662628;3930036;1486080;1906560;1636708;157832
212;2020-07-05;20:20:29;4;0.09;1.58;3446148;2660964;3928384;1486080;1906532;1636664;157840
213;2020-07-05;20:20:34;4;0.09;1.58;3445272;2661920;3929344;1486080;1906452;1636592;157848
214;2020-07-05;20:20:39;4;0.09;1.58;3446296;2660924;3928364;1486080;1906424;1636508;157888
215;2020-07-05;20:20:44;2;0.09;1.58;3445092;2661916;3929388;1486080;1906636;1636716;157888
216;2020-07-05;20:20:49;2;0.09;1.58;3443568;2663380;3930856;1486080;1906696;1636772;157904
